905,Mark Ramprakash,376,
906,David Lawrence,–,
907,Dermot Reeve,291,
908,Richard Blakey,25,
909,Dominic Cork,180,
910,Ian Salisbury,7,
911,Paul Taylor,1,
912,Andrew Caddick,249,
913,Graham Thorpe,"2,380",
914,Alan Igglesden,20,
915,Matthew Maynard,156,
916,Steve Watkin,4,
917,Darren Gough,609,
918,Shaun Udal,35,
919,Joey Benjamin,0,
920,Craig White,568,
921,John Crawley,235,
922,Peter Martin,38,
923,Alan Wells,15,
924,Neil Smith,100,
925,Mike Watkinson,–,
926,Ali Brown,354,
927,Mark Ealham,716,
928,Ronnie Irani,360,
929,Robert Croft,345,
930,Dean Headley,22,
931,Nick Knight,"3,637",
932,Graham Lloyd,39,
933,Alan Mullally,86,
934,Adam Hollioake,606,
935,Chris Silverwood,17,
936,Ashley Giles,385,
937,Ben Hollioake,309,
938,Dougie Brown,99,
939,Matthew Fleming,139,
940,Chris Adams,71,
941,Darren Maddy,113,
942,Ian Austin,34,
943,Mark Alleyne,151,
944,Vince Wells,141,
945,Andrew Flintoff,"3,293",
946,Chris Read,300,
947,Vikram Solanki,"1,097",
948,Graeme Swann,500,
949,Marcus Trescothick,"4,335",
950,Paul Franks,4,
951,Paul Grayson,6,
952,Michael Vaughan,"1,982",
953,Paul Collingwood,"5,092",
954,Owais Shah,"1,834",
955,James Foster,41,
956,Matthew Hoggard,17,
957,James Kirtley,2,
958,Jeremy Snape,118,
959,Ryan Sidebottom,133,
960,Alex Tudor,9,
961,Ian Blackwell,403,
962,Gareth Batty,30,
963,James Anderson,273,
964,Steve Harmison,91,
965,Rikki Clarke,144,
966,Anthony McGrath,166,
967,Jim Troughton,36,
968,Richard Johnson,16,
969,Robert Key,54,
